datetime,soil_temperature,relative_humidity,precipitation,evapotranspiration,solar_radiation
2019-05-01 00:00:00,74.6,90,0.0,0.01,0.0
2019-05-01 01:00:00,73.2,95,0.0,0.0,0.0
2019-05-01 02:00:00,72.1,97,0.0,0.0,0.0
2019-05-01 03:00:00,71.2,98,0.0,0.0,0.0
2019-05-01 04:00:00,70.3,98,0.0,0.0,0.0
2019-05-01 05:00:00,69.7,98,0.0,0.0,0.0
2019-05-01 06:00:00,69.1,98,0.0,0.0,0.0
2019-05-01 07:00:00,68.5,98,0.0,0.0,1.0
2019-05-01 08:00:00,68.9,94,0.0,0.04,80.0
2019-05-01 09:00:00,71.0,80,0.0,0.17,265.0
2019-05-01 10:00:00,73.6,67,0.0,0.29,411.0
2019-05-01 11:00:00,77.0,55,0.0,0.47,647.0
2019-05-01 12:00:00,80.2,47,0.0,0.58,770.0
2019-05-01 13:00:00,82.7,43,0.0,0.63,802.0
2019-05-01 14:00:00,85.0,39,0.0,0.7,887.0
2019-05-01 15:00:00,86.5,38,0.0,0.66,811.0
2019-05-01 16:00:00,87.3,36,0.0,0.61,712.0
2019-05-01 17:00:00,87.0,37,0.0,0.48,494.0
2019-05-01 18:00:00,86.2,41,0.0,0.39,380.0
2019-05-01 19:00:00,84.7,43,0.0,0.28,246.0
2019-05-01 20:00:00,82.9,58,0.0,0.13,76.0
2019-05-01 21:00:00,80.5,63,0.0,0.11,0.0
2019-05-01 22:00:00,78.3,70,0.0,0.05,0.0
2019-05-01 23:00:00,76.2,81,0.0,0.03,0.0
2019-05-02 00:00:00,74.6,88,0.0,0.01,0.0
2019-05-02 01:00:00,73.2,93,0.0,0.0,0.0
2019-05-02 02:00:00,72.1,95,0.0,0.0,0.0
2019-05-02 03:00:00,71.2,96,0.0,0.0,0.0
2019-05-02 04:00:00,70.4,96,0.0,0.0,0.0
2019-05-02 05:00:00,69.9,96,0.0,0.0,0.0
2019-05-02 06:00:00,69.4,97,0.0,0.0,0.0
2019-05-02 07:00:00,69.1,96,0.0,0.0,1.0
2019-05-02 08:00:00,69.7,90,0.0,0.04,72.0
2019-05-02 09:00:00,71.6,80,0.0,0.15,216.0
2019-05-02 10:00:00,73.9,69,0.1,0.26,341.0
2019-05-02 11:00:00,76.6,63,0.1,0.37,478.0
2019-05-02 12:00:00,79.6,59,0.0,0.48,634.0
2019-05-02 13:00:00,81.7,57,0.0,0.47,594.0
2019-05-02 14:00:00,84.4,54,0.0,0.59,775.0
2019-05-02 15:00:00,82.9,78,2.1,0.36,552.0
2019-05-02 16:00:00,81.6,72,0.4,0.35,486.0
2019-05-02 17:00:00,80.9,69,0.0,0.27,329.0
2019-05-02 18:00:00,80.2,69,0.0,0.2,223.0
2019-05-02 19:00:00,79.3,71,0.4,0.14,128.0
2019-05-02 20:00:00,80.4,66,0.2,0.11,41.0
2019-05-02 21:00:00,78.5,77,0.0,0.06,0.0
2019-05-02 22:00:00,76.7,85,0.0,0.01,0.0
2019-05-02 23:00:00,75.1,92,0.0,0.0,0.0
2019-05-03 00:00:00,74.1,93,0.0,0.0,0.0
2019-05-03 01:00:00,73.4,92,0.0,0.0,0.0
2019-05-03 02:00:00,72.9,93,0.0,0.0,0.0
2019-05-03 03:00:00,72.5,92,0.0,0.0,0.0
2019-05-03 04:00:00,72.3,92,0.0,0.0,0.0
2019-05-03 05:00:00,72.2,93,0.0,0.0,0.0
2019-05-03 06:00:00,72.1,93,0.1,0.0,0.0
2019-05-03 07:00:00,72.1,93,0.2,0.01,0.0
2019-05-03 08:00:00,73.8,95,0.2,0.03,25.0
2019-05-03 09:00:00,74.8,82,0.0,0.15,245.0
2019-05-03 10:00:00,76.6,73,0.0,0.25,362.0
2019-05-03 11:00:00,79.1,64,0.2,0.38,535.0
2019-05-03 12:00:00,80.9,59,0.1,0.41,542.0
2019-05-03 13:00:00,83.7,52,0.0,0.61,814.0
2019-05-03 14:00:00,85.8,52,0.0,0.6,790.0
2019-05-03 15:00:00,87.5,49,0.0,0.6,778.0
2019-05-03 16:00:00,88.6,47,0.0,0.55,678.0
2019-05-03 17:00:00,88.1,70,1.6,0.3,416.0
2019-05-03 18:00:00,83.8,91,2.8,0.14,201.0
2019-05-03 19:00:00,81.1,92,0.0,0.1,152.0
2019-05-03 20:00:00,80.5,84,0.0,0.04,50.0
2019-05-03 21:00:00,78.6,85,0.0,0.03,0.0
2019-05-03 22:00:00,77.1,92,0.0,0.0,0.0
2019-05-03 23:00:00,75.7,93,0.0,0.0,0.0
2019-05-04 00:00:00,74.8,89,0.0,0.0,0.0
2019-05-04 01:00:00,74.1,91,0.0,0.0,0.0
2019-05-04 02:00:00,73.4,97,0.0,0.0,0.0
2019-05-04 03:00:00,73.0,95,0.0,0.0,0.0
2019-05-04 04:00:00,72.2,98,0.0,0.0,0.0
2019-05-04 05:00:00,71.9,99,0.0,0.0,0.0
2019-05-04 06:00:00,71.7,99,0.0,0.0,0.0
2019-05-04 07:00:00,71.7,99,0.0,0.0,1.0
2019-05-04 08:00:00,73.2,90,0.0,0.04,45.0
2019-05-04 09:00:00,74.6,77,0.0,0.17,223.0
2019-05-04 10:00:00,76.7,66,0.0,0.31,407.0
2019-05-04 11:00:00,79.3,57,0.0,0.42,547.0
2019-05-04 12:00:00,82.2,50,0.0,0.6,774.0
2019-05-04 13:00:00,84.7,46,0.0,0.64,790.0
2019-05-04 14:00:00,86.2,46,0.0,0.64,789.0
2019-05-04 15:00:00,87.0,48,0.2,0.61,745.0
2019-05-04 16:00:00,87.6,48,0.0,0.57,687.0
2019-05-04 17:00:00,87.3,53,0.1,0.46,515.0
2019-05-04 18:00:00,85.9,59,0.2,0.29,295.0
2019-05-04 19:00:00,84.2,65,0.0,0.18,179.0
2019-05-04 20:00:00,83.1,67,0.0,0.1,64.0
2019-05-04 21:00:00,81.1,73,0.0,0.04,1.0
2019-05-04 22:00:00,79.7,76,0.0,0.04,0.0
2019-05-04 23:00:00,78.6,82,0.0,0.03,0.0
2019-05-05 00:00:00,77.7,88,0.0,0.01,0.0
2019-05-05 01:00:00,76.8,91,0.0,0.01,0.0
2019-05-05 02:00:00,76.0,93,0.0,0.0,0.0
2019-05-05 03:00:00,75.5,92,0.0,0.01,0.0
2019-05-05 04:00:00,74.9,94,0.0,0.0,0.0
2019-05-05 05:00:00,74.6,94,0.0,0.0,0.0
2019-05-05 06:00:00,74.3,94,0.3,0.0,0.0
2019-05-05 07:00:00,73.9,94,0.6,0.01,1.0
2019-05-05 08:00:00,73.8,96,0.0,0.03,51.0
2019-05-05 09:00:00,73.3,94,0.1,0.05,57.0
2019-05-05 10:00:00,73.9,87,0.0,0.16,249.0
2019-05-05 11:00:00,75.1,82,1.1,0.26,386.0
2019-05-05 12:00:00,75.2,89,0.7,0.16,230.0
2019-05-05 13:00:00,75.1,93,1.7,0.16,261.0
2019-05-05 14:00:00,75.6,86,0.2,0.26,399.0
2019-05-05 15:00:00,77.0,79,0.5,0.34,521.0
2019-05-05 16:00:00,77.1,79,0.2,0.21,272.0
2019-05-05 17:00:00,78.6,62,0.0,0.39,506.0
2019-05-05 18:00:00,79.5,60,0.0,0.3,346.0
2019-05-05 19:00:00,79.3,65,0.2,0.2,213.0
2019-05-05 20:00:00,78.8,73,0.1,0.08,58.0
2019-05-05 21:00:00,77.0,80,0.0,0.02,1.0
2019-05-05 22:00:00,75.8,88,0.1,0.01,0.0
2019-05-05 23:00:00,75.0,90,0.0,0.01,0.0
2019-05-06 00:00:00,74.1,90,0.0,0.0,0.0
2019-05-06 01:00:00,73.0,94,0.0,0.0,0.0
2019-05-06 02:00:00,71.7,96,0.0,0.0,0.0
2019-05-06 03:00:00,71.0,96,0.0,0.0,0.0
