datetime,soil_temperature,relative_humidity,precipitation,evapotranspiration,solar_radiation
2019-05-01 00:00:00,70.7,87,0.0,0.0,0.0
2019-05-01 01:00:00,69.8,78,0.0,0.02,0.0
2019-05-01 02:00:00,69.7,81,0.0,0.02,0.0
2019-05-01 03:00:00,69.5,89,0.0,0.0,0.0
2019-05-01 04:00:00,69.1,93,0.0,0.0,0.0
2019-05-01 05:00:00,68.7,96,0.0,0.0,0.0
2019-05-01 06:00:00,68.4,98,0.0,0.0,0.0
2019-05-01 07:00:00,68.1,98,0.0,0.01,0.0
2019-05-01 08:00:00,69.6,93,0.0,0.03,64.0
2019-05-01 09:00:00,70.5,81,0.0,0.16,250.0
2019-05-01 10:00:00,72.1,68,0.0,0.3,426.0
2019-05-01 11:00:00,74.1,60,0.0,0.45,641.0
2019-05-01 12:00:00,76.3,50,0.0,0.58,798.0
2019-05-01 13:00:00,78.2,44,0.0,0.63,827.0
2019-05-01 14:00:00,80.0,41,0.0,0.69,898.0
2019-05-01 15:00:00,81.4,39,0.0,0.68,887.0
2019-05-01 16:00:00,82.4,37,0.0,0.63,806.0
2019-05-01 17:00:00,82.9,37,0.0,0.52,659.0
2019-05-01 18:00:00,82.8,38,0.0,0.36,450.0
2019-05-01 19:00:00,82.2,43,0.0,0.21,256.0
2019-05-01 20:00:00,80.0,54,0.0,0.1,79.0
2019-05-01 21:00:00,78.0,56,0.0,0.07,2.0
2019-05-01 22:00:00,76.2,59,0.0,0.07,0.0
2019-05-01 23:00:00,75.2,59,0.0,0.09,0.0
2019-05-02 00:00:00,74.6,65,0.0,0.06,0.0
2019-05-02 01:00:00,73.8,73,0.0,0.04,0.0
2019-05-02 02:00:00,72.9,81,0.0,0.01,0.0
2019-05-02 03:00:00,72.0,89,0.0,0.0,0.0
2019-05-02 04:00:00,71.2,94,0.0,0.0,0.0
2019-05-02 05:00:00,70.4,97,0.0,0.0,0.0
2019-05-02 06:00:00,69.8,98,0.0,0.0,0.0
2019-05-02 07:00:00,69.4,98,0.0,0.01,0.0
2019-05-02 08:00:00,69.8,93,0.0,0.03,49.0
2019-05-02 09:00:00,70.7,81,0.0,0.15,252.0
2019-05-02 10:00:00,72.4,65,0.0,0.33,462.0
2019-05-02 11:00:00,74.4,58,0.0,0.43,583.0
2019-05-02 12:00:00,76.1,54,0.3,0.48,636.0
2019-05-02 13:00:00,77.7,54,0.4,0.54,734.0
2019-05-02 14:00:00,79.3,52,0.2,0.54,720.0
2019-05-02 15:00:00,80.3,52,0.0,0.48,644.0
2019-05-02 16:00:00,81.3,50,0.0,0.47,627.0
2019-05-02 17:00:00,81.3,58,0.0,0.33,417.0
2019-05-02 18:00:00,79.8,87,1.4,0.21,326.0
2019-05-02 19:00:00,78.4,88,0.0,0.12,179.0
2019-05-02 20:00:00,78.4,61,0.0,0.11,67.0
2019-05-02 21:00:00,76.9,74,0.0,0.04,2.0
2019-05-02 22:00:00,75.7,73,0.0,0.03,0.0
2019-05-02 23:00:00,74.7,71,0.0,0.03,0.0
2019-05-03 00:00:00,73.5,74,0.0,0.01,0.0
2019-05-03 01:00:00,72.4,77,0.0,0.01,0.0
2019-05-03 02:00:00,71.6,82,0.0,0.01,0.0
2019-05-03 03:00:00,71.0,88,0.0,0.0,0.0
2019-05-03 04:00:00,70.5,95,0.0,0.0,0.0
2019-05-03 05:00:00,70.2,97,0.0,0.0,0.0
2019-05-03 06:00:00,70.0,98,0.0,0.0,0.0
2019-05-03 07:00:00,70.0,96,0.0,0.01,0.0
2019-05-03 08:00:00,71.4,92,0.0,0.03,31.0
2019-05-03 09:00:00,71.8,87,0.0,0.08,109.0
2019-05-03 10:00:00,72.9,77,0.0,0.21,310.0
2019-05-03 11:00:00,74.5,65,0.1,0.33,470.0
2019-05-03 12:00:00,75.8,60,0.1,0.33,440.0
2019-05-03 13:00:00,76.9,59,0.0,0.29,392.0
2019-05-03 14:00:00,78.3,58,0.1,0.4,530.0
2019-05-03 15:00:00,79.7,56,0.0,0.49,665.0
2019-05-03 16:00:00,80.7,54,0.0,0.46,613.0
2019-05-03 17:00:00,81.0,58,0.3,0.37,475.0
2019-05-03 18:00:00,80.5,64,0.1,0.28,366.0
