Location,lat,long,year,plot,block,variety,inoculum,dap,incidence,new_incidence,cumulative_incidence,date,can_cover
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,44,0,0,0,7/5/2019,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,49,0,0,0,7/10/2019,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,63,75,75,75,7/24/2019,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,79,70,20,95,8/9/2019,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,92,15,0,95,8/22/2019,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,105,10,0,95,9/4/2019,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,119,0,0,95,9/18/2019,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,44,0,0,0,7/5/2019,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,49,10,10,10,7/10/2019,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,63,85,75,85,7/24/2019,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,79,75,5,90,8/9/2019,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,92,0,0,90,8/22/2019,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,105,15,0,90,9/4/2019,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,119,5,0,90,9/18/2019,
Live Oak,30.306,-82.901,2019,312,3,GA06G,Scl1,44,0,0,0,7/5/2019,
Live Oak,30.306,-82.901,2019,312,3,GA06G,Scl1,49,0,0,0,7/10/2019,
Live Oak,30.306,-82.901,2019,312,3,GA06G,Scl1,63,70,70,70,7/24/2019,
Live Oak,30.306,-82.901,2019,312,3,GA06G,Scl1,79,50,10,80,8/9/2019,
Live Oak,30.306,-82.901,2019,312,3,GA06G,Scl1,92,10,0,80,8/22/2019,
Live Oak,30.306,-82.901,2019,312,3,GA06G,Scl1,105,5,0,80,9/4/2019,
Live Oak,30.306,-82.901,2019,312,3,GA06G,Scl1,119,5,0,80,9/18/2019,
