location,year,variety,inoculum,date,dap_pred,dap,dt,myIncObs,myIncCum,canCover
LiveOak,2019,GA06G,Scl1,07/05/2019,0,44,44,0,0,0
LiveOak,2019,GA06G,Scl1,07/10/2019,0,49,5,2.5,2.5,0
LiveOak,2019,GA06G,Scl1,07/24/2019,0,63,14,73.75,73.75,1
LiveOak,2019,GA06G,Scl1,08/09/2019,0,79,16,62.5,90,1
LiveOak,2019,GA06G,Scl1,08/22/2019,0,92,13,6.25,90,1
LiveOak,2019,GA06G,Scl1,09/04/2019,0,105,13,7.5,90,1
LiveOak,2019,GA06G,Scl1,09/18/2019,1,119,14,2.5,90,1
LiveOak,2020,GA06G,Scl1,07/08/2020,0,54,54,0,0,0
LiveOak,2020,GA06G,Scl1,07/22/2020,0,68,14,8.75,8.75,0
LiveOak,2020,GA06G,Scl1,08/05/2020,0,82,14,45,48.75,1
LiveOak,2020,GA06G,Scl1,08/19/2020,0,96,14,21.25,58.75,1
LiveOak,2020,GA06G,Scl1,09/02/2020,0,110,14,15,63.75,1
LiveOak,2020,GA06G,Scl1,09/22/2020,1,130,20,0,63.75,1
Marianna,2019,GA06G,Scl1,07/03/2019,0,42,42,0,0,0
Marianna,2019,GA06G,Scl1,07/12/2019,0,51,9,1.25,1.25,0
Marianna,2019,GA06G,Scl1,07/24/2019,0,63,12,22.5,23.75,0
Marianna,2019,GA06G,Scl1,08/08/2019,0,78,15,3.75,27.5,1
Marianna,2019,GA06G,Scl1,08/23/2019,0,93,15,32.5,47.5,1
Marianna,2019,GA06G,Scl1,09/05/2019,0,106,13,18.75,56.25,1
Marianna,2019,GA06G,Scl1,09/20/2019,1,121,15,6.25,60,1
Marianna,2019,GA06G,Scl1,10/02/2019,1,133,12,6.25,63.75,1
Marianna,2020,GA06G,Scl1,07/09/2020,0,44,44,1.25,1.25,0
Marianna,2020,GA06G,Scl1,07/24/2020,0,59,15,1.25,2.5,0
Marianna,2020,GA06G,Scl1,08/07/2020,0,73,14,5,6.25,1
Marianna,2020,GA06G,Scl1,08/21/2020,0,87,14,13.75,18.75,1
Marianna,2020,GA06G,Scl1,09/04/2020,0,101,14,0,18.75,1
Marianna,2020,GA06G,Scl1,10/19/2020,1,146,45,0,18.75,1
Quincy,2019,GA06G,Scl1,07/03/2019,0,48,48,0,0,0
Quincy,2019,GA06G,Scl1,07/11/2019,0,56,8,0,0,0
Quincy,2019,GA06G,Scl1,08/16/2019,0,92,36,12.5,12.5,1
Quincy,2019,GA06G,Scl1,09/06/2019,0,113,21,0,12.5,1
Quincy,2019,GA06G,Scl1,09/19/2019,1,126,13,0,12.5,1
Quincy,2019,GA06G,Scl1,10/01/2019,1,138,12,0,12.5,1
Quincy,2020,GA06G,Scl1,07/12/2020,0,58,58,6.25,6.25,0
Quincy,2020,GA06G,Scl1,07/23/2020,0,69,11,3.75,10,0
Quincy,2020,GA06G,Scl1,08/06/2020,0,83,14,11.25,20,1
Quincy,2020,GA06G,Scl1,08/20/2020,0,97,14,47.5,55,1
Quincy,2020,GA06G,Scl1,09/03/2020,0,111,14,2.5,57.5,1
Quincy,2020,GA06G,Scl1,09/21/2020,1,129,18,0,57.5,1
