datetime,soil_temperature,relative_humidity,precipitation,evapotranspiration,solar_radiation
2020-05-01 00:00:00,65.2,77,0.0,0.01,0.0
2020-05-01 01:00:00,63.2,77,0.0,0.01,0.0
2020-05-01 02:00:00,61.7,84,0.0,0.0,0.0
2020-05-01 03:00:00,60.4,86,0.0,0.0,0.0
2020-05-01 04:00:00,59.5,86,0.0,0.0,0.0
2020-05-01 05:00:00,58.6,84,0.0,0.0,0.0
2020-05-01 06:00:00,58.1,83,0.0,0.0,0.0
2020-05-01 07:00:00,57.7,83,0.0,0.0,1.0
2020-05-01 08:00:00,59.1,76,0.0,0.05,90.0
2020-05-01 09:00:00,61.3,64,0.0,0.17,298.0
2020-05-01 10:00:00,64.0,54,0.0,0.31,522.0
2020-05-01 11:00:00,67.1,42,0.0,0.46,725.0
2020-05-01 12:00:00,69.7,35,0.0,0.58,882.0
2020-05-01 13:00:00,72.0,31,0.0,0.66,982.0
2020-05-01 14:00:00,73.9,29,0.0,0.7,1016.0
2020-05-01 15:00:00,75.2,29,0.0,0.68,980.0
2020-05-01 16:00:00,76.0,30,0.0,0.62,877.0
2020-05-01 17:00:00,76.2,30,0.0,0.53,718.0
2020-05-01 18:00:00,75.7,32,0.0,0.39,516.0
2020-05-01 19:00:00,74.4,40,0.0,0.22,292.0
2020-05-01 20:00:00,72.5,58,0.0,0.08,84.0
2020-05-01 21:00:00,69.2,54,0.0,0.07,0.0
2020-05-01 22:00:00,66.6,62,0.0,0.03,0.0
2020-05-01 23:00:00,64.4,70,0.0,0.03,0.0
2020-05-02 00:00:00,62.7,72,0.0,0.02,0.0
2020-05-02 01:00:00,61.3,78,0.0,0.01,0.0
2020-05-02 02:00:00,60.0,83,0.0,0.0,0.0
2020-05-02 03:00:00,58.9,85,0.0,0.0,0.0
2020-05-02 04:00:00,57.8,86,0.0,0.0,0.0
2020-05-02 05:00:00,56.8,89,0.0,0.0,0.0
2020-05-02 06:00:00,56.0,88,0.0,0.0,0.0
2020-05-02 07:00:00,55.2,86,0.0,0.0,1.0
2020-05-02 08:00:00,55.9,84,0.0,0.04,93.0
2020-05-02 09:00:00,59.5,66,0.0,0.16,299.0
2020-05-02 10:00:00,63.8,49,0.0,0.32,519.0
2020-05-02 11:00:00,68.0,39,0.0,0.46,716.0
2020-05-02 12:00:00,71.8,33,0.0,0.58,870.0
2020-05-02 13:00:00,74.9,30,0.0,0.67,969.0
2020-05-02 14:00:00,77.5,28,0.0,0.7,1000.0
2020-05-02 15:00:00,79.3,28,0.0,0.68,964.0
2020-05-02 16:00:00,80.5,27,0.0,0.6,860.0
2020-05-02 17:00:00,81.0,27,0.0,0.48,705.0
2020-05-02 18:00:00,80.6,29,0.0,0.34,502.0
2020-05-02 19:00:00,79.5,32,0.0,0.21,285.0
2020-05-02 20:00:00,77.1,55,0.0,0.09,82.0
2020-05-02 21:00:00,73.3,59,0.0,0.07,0.0
2020-05-02 22:00:00,70.4,64,0.0,0.04,0.0
2020-05-02 23:00:00,68.5,62,0.0,0.05,0.0
2020-05-03 00:00:00,67.1,77,0.0,0.01,0.0
2020-05-03 01:00:00,65.8,81,0.0,0.01,0.0
2020-05-03 02:00:00,64.7,84,0.0,0.0,0.0
2020-05-03 03:00:00,63.7,90,0.0,0.0,0.0
2020-05-03 04:00:00,62.6,93,0.0,0.0,0.0
2020-05-03 05:00:00,61.6,95,0.0,0.0,0.0
2020-05-03 06:00:00,60.7,96,0.0,0.0,0.0
2020-05-03 07:00:00,60.1,95,0.0,0.0,1.0
2020-05-03 08:00:00,59.5,91,0.0,0.04,90.0
2020-05-03 09:00:00,63.0,75,0.0,0.16,292.0
2020-05-03 10:00:00,67.0,58,0.0,0.32,509.0
2020-05-03 11:00:00,71.2,45,0.0,0.48,705.0
2020-05-03 12:00:00,74.9,39,0.0,0.6,857.0
2020-05-03 13:00:00,78.2,36,0.0,0.69,948.0
2020-05-03 14:00:00,80.7,33,0.0,0.72,979.0
2020-05-03 15:00:00,82.4,32,0.0,0.68,902.0
2020-05-03 16:00:00,83.4,31,0.0,0.61,792.0
2020-05-03 17:00:00,83.8,31,0.0,0.54,689.0
2020-05-03 18:00:00,83.5,34,0.0,0.4,495.0
2020-05-03 19:00:00,82.1,39,0.0,0.26,264.0
2020-05-03 20:00:00,80.2,46,0.0,0.15,80.0
