datetime,soil_temperature,relative_humidity,precipitation,evapotranspiration,solar_radiation
2019-05-01 00:00:00,68.8,85,0.0,0.0,0.0
2019-05-01 01:00:00,67.7,89,0.0,0.0,0.0
2019-05-01 02:00:00,67.3,84,0.0,0.0,0.0
2019-05-01 03:00:00,67.0,82,0.0,0.01,0.0
2019-05-01 04:00:00,67.0,89,0.0,0.0,0.0
2019-05-01 05:00:00,66.9,94,0.0,0.0,0.0
2019-05-01 06:00:00,66.9,95,0.0,0.0,0.0
2019-05-01 07:00:00,68.9,92,0.0,0.03,59.0
2019-05-01 08:00:00,70.3,85,0.0,0.14,237.0
2019-05-01 09:00:00,72.1,72,0.0,0.3,440.0
2019-05-01 10:00:00,74.5,68,0.0,0.41,598.0
2019-05-01 11:00:00,76.6,60,0.1,0.5,687.0
2019-05-01 12:00:00,78.2,54,0.0,0.52,697.0
2019-05-01 13:00:00,79.8,49,0.0,0.59,776.0
2019-05-01 14:00:00,81.2,46,0.0,0.62,814.0
2019-05-01 15:00:00,82.0,44,0.0,0.54,698.0
2019-05-01 16:00:00,82.1,44,0.0,0.48,620.0
2019-05-01 17:00:00,82.0,45,0.0,0.36,468.0
2019-05-01 18:00:00,81.1,55,0.0,0.21,253.0
2019-05-01 19:00:00,79.3,59,0.0,0.09,90.0
2019-05-01 20:00:00,77.2,65,0.0,0.03,2.0
2019-05-01 21:00:00,75.5,77,0.0,0.02,0.0
2019-05-01 22:00:00,74.2,85,0.0,0.0,0.0
2019-05-01 23:00:00,73.0,93,0.0,0.0,0.0
2019-05-02 00:00:00,71.8,93,0.0,0.0,0.0
2019-05-02 01:00:00,71.1,78,0.0,0.03,0.0
2019-05-02 02:00:00,70.6,78,0.0,0.01,0.0
2019-05-02 03:00:00,70.0,84,0.0,0.0,0.0
2019-05-02 04:00:00,69.0,92,0.0,0.0,0.0
2019-05-02 05:00:00,68.4,94,0.0,0.0,0.0
2019-05-02 06:00:00,67.8,95,0.0,0.0,0.0
2019-05-02 07:00:00,68.8,94,0.0,0.03,57.0
2019-05-02 08:00:00,70.0,81,0.0,0.15,245.0
2019-05-02 09:00:00,71.9,76,0.0,0.28,442.0
2019-05-02 10:00:00,74.2,65,0.0,0.44,653.0
2019-05-02 11:00:00,76.6,57,0.0,0.54,753.0
2019-05-02 12:00:00,78.5,56,0.2,0.57,794.0
2019-05-02 13:00:00,80.2,56,0.0,0.58,787.0
2019-05-02 14:00:00,81.7,55,0.0,0.59,795.0
2019-05-02 15:00:00,82.0,56,0.0,0.46,590.0
2019-05-02 16:00:00,82.0,58,0.1,0.4,533.0
2019-05-02 17:00:00,81.3,62,0.0,0.26,326.0
2019-05-02 18:00:00,80.3,68,0.0,0.17,220.0
2019-05-02 19:00:00,78.8,70,0.0,0.08,77.0
2019-05-02 20:00:00,77.1,61,0.0,0.07,3.0
2019-05-02 21:00:00,75.7,63,0.0,0.05,0.0
2019-05-02 22:00:00,74.3,72,0.0,0.02,0.0
2019-05-02 23:00:00,73.0,76,0.0,0.01,0.0
2019-05-03 00:00:00,71.9,81,0.0,0.0,0.0
2019-05-03 01:00:00,70.9,85,0.0,0.0,0.0
2019-05-03 02:00:00,70.1,88,0.0,0.0,0.0
2019-05-03 03:00:00,69.4,92,0.0,0.0,0.0
2019-05-03 04:00:00,68.9,92,0.0,0.0,0.0
2019-05-03 05:00:00,68.5,94,0.0,0.0,0.0
2019-05-03 06:00:00,68.2,95,0.0,0.01,0.0
2019-05-03 07:00:00,69.7,93,0.0,0.03,45.0
2019-05-03 08:00:00,71.0,85,0.0,0.12,193.0
2019-05-03 09:00:00,72.4,78,0.0,0.19,266.0
2019-05-03 10:00:00,74.2,72,0.1,0.28,401.0
2019-05-03 11:00:00,75.8,70,0.2,0.31,428.0
2019-05-03 12:00:00,78.0,64,0.3,0.51,717.0
2019-05-03 13:00:00,79.7,64,0.1,0.52,714.0
2019-05-03 14:00:00,81.4,63,0.0,0.57,789.0
2019-05-03 15:00:00,82.6,64,0.1,0.52,721.0
2019-05-03 16:00:00,82.9,63,0.1,0.42,579.0
2019-05-03 17:00:00,81.6,74,2.3,0.27,384.0
2019-05-03 18:00:00,80.2,75,0.0,0.17,229.0
2019-05-03 19:00:00,80.2,78,0.0,0.06,72.0
