datetime,soil_temperature,relative_humidity,precipitation,evapotranspiration,solar_radiation
2020-05-01 00:00:00,65.0,59,0.0,0.04,0.0
2020-05-01 01:00:00,63.8,62,0.0,0.04,0.0
2020-05-01 02:00:00,62.3,73,0.0,0.02,0.0
2020-05-01 03:00:00,61.0,73,0.0,0.01,0.0
2020-05-01 04:00:00,59.9,77,0.0,0.0,0.0
2020-05-01 05:00:00,59.0,74,0.0,0.01,0.0
2020-05-01 06:00:00,58.6,68,0.0,0.03,0.0
2020-05-01 07:00:00,58.6,70,0.0,0.05,0.0
2020-05-01 08:00:00,57.9,72,0.0,0.05,73.0
2020-05-01 09:00:00,59.5,60,0.0,0.15,279.0
2020-05-01 10:00:00,61.8,49,0.0,0.3,505.0
2020-05-01 11:00:00,64.3,36,0.0,0.45,711.0
2020-05-01 12:00:00,66.7,33,0.0,0.57,872.0
2020-05-01 13:00:00,68.6,33,0.0,0.64,977.0
2020-05-01 14:00:00,70.4,33,0.0,0.68,1016.0
2020-05-01 15:00:00,71.9,32,0.0,0.67,987.0
2020-05-01 16:00:00,73.0,32,0.0,0.61,891.0
2020-05-01 17:00:00,73.4,34,0.0,0.51,737.0
2020-05-01 18:00:00,73.4,37,0.0,0.38,537.0
2020-05-01 19:00:00,72.8,48,0.0,0.21,313.0
2020-05-01 20:00:00,71.5,63,0.0,0.08,104.0
2020-05-01 21:00:00,68.8,63,0.0,0.04,2.0
2020-05-01 22:00:00,66.6,68,0.0,0.02,0.0
2020-05-01 23:00:00,64.8,71,0.0,0.02,0.0
2020-05-02 00:00:00,63.3,75,0.0,0.01,0.0
2020-05-02 01:00:00,62.1,78,0.0,0.0,0.0
2020-05-02 02:00:00,61.0,76,0.0,0.01,0.0
2020-05-02 03:00:00,60.0,83,0.0,0.0,0.0
2020-05-02 04:00:00,59.1,90,0.0,0.0,0.0
2020-05-02 05:00:00,58.4,87,0.0,0.0,0.0
2020-05-02 06:00:00,57.7,86,0.0,0.0,0.0
2020-05-02 07:00:00,57.2,85,0.0,0.02,0.0
2020-05-02 08:00:00,58.3,84,0.0,0.03,75.0
2020-05-02 09:00:00,60.4,69,0.0,0.15,274.0
2020-05-02 10:00:00,63.3,51,0.0,0.31,495.0
2020-05-02 11:00:00,66.3,41,0.0,0.46,697.0
2020-05-02 12:00:00,69.1,36,0.0,0.58,857.0
2020-05-02 13:00:00,71.6,33,0.0,0.66,961.0
2020-05-02 14:00:00,73.9,31,0.0,0.7,1001.0
2020-05-02 15:00:00,75.6,29,0.0,0.69,971.0
2020-05-02 16:00:00,76.8,29,0.0,0.62,876.0
2020-05-02 17:00:00,77.5,30,0.0,0.51,713.0
2020-05-02 18:00:00,77.5,33,0.0,0.34,475.0
2020-05-02 19:00:00,76.9,53,0.0,0.2,286.0
2020-05-02 20:00:00,75.5,73,0.0,0.07,97.0
2020-05-02 21:00:00,72.5,72,0.0,0.03,2.0
2020-05-02 22:00:00,70.6,72,0.0,0.03,0.0
2020-05-02 23:00:00,69.4,64,0.0,0.04,0.0
2020-05-03 00:00:00,68.1,67,0.0,0.04,0.0
