location,year,variety,inoculum,date,dap_pred,dap,dt,myIncObs,myIncCum,canCover,cumETin,avgETin,cumSRad,avgHTR,nHrST25.35,nHrST25.30,nHrSTa30,nHrRHa80,nHrRHa85,nHrRHa90,nHrRHa80ST25.30,nHrRHa85ST25.30,nHrRHa90ST25.30,cumDRnI,avgDRnI,avgRH,avgST,avgSTmin,avgSTmx,avgGWET,cumGWET,nDaysGWET
LiveOak,2019,GA06G,Scl1,07/05/2019,0,44,44,0,0,0,189.484,4.51152381,80020.24,2.769548961,324,192,132,199,180,144,137,128,102,33.528,2.394857143,79.86309524,29.20821429,29.04794643,29.3678869,0.484285714,6.78,6
LiveOak,2019,GA06G,Scl1,07/10/2019,0,49,5,2.5,2.5,0,197.866,4.711095238,85466.57,2.706470465,330,160,176,204,180,145,131,121,96,90.678,6.477,81.2202381,30.35125,30.16526786,30.53785714,0.459285714,6.43,3
LiveOak,2019,GA06G,Scl1,07/24/2019,0,63,14,73.75,73.75,1,170.18,4.051904762,72122.92,3.089890771,326,219,114,258,233,210,176,168,156,97.028,6.930571429,88.6875,29.01544643,28.8391369,29.19199405,0.540714286,7.57,12
LiveOak,2019,GA06G,Scl1,08/09/2019,0,79,16,62.5,90,1,200.914,4.783666667,75348.56,3.227342518,323,235,88,298,269,232,205,192,170,77.724,5.551714286,91.24404762,28.49342262,28.32315476,28.66333333,0.497142857,6.96,7
LiveOak,2019,GA06G,Scl1,08/22/2019,0,92,13,6.25,90,1,181.356,4.318,73528.3,3.072700497,329,173,163,311,284,240,168,160,141,45.974,3.283857143,92.01190476,30.16866071,30.00761905,30.33017857,0.485714286,6.8,3
LiveOak,2019,GA06G,Scl1,09/04/2019,0,105,13,7.5,90,1,151.638,3.610428571,67320.24,3.345577518,286,189,100,317,294,272,179,168,157,86.36,6.168571429,93.84821429,28.39133929,28.22886905,28.55458333,0.589285714,8.25,14
LiveOak,2019,GA06G,Scl1,09/18/2019,1,119,14,2.5,90,1,171.45,4.082142857,75045.54,3.019856277,329,205,124,255,234,210,179,164,152,56.642,4.045857143,87.4077381,29.30824405,29.13458333,29.48258929,0.450714286,6.31,4
LiveOak,2020,GA06G,Scl1,07/08/2020,0,54,54,0,0,0,192.786,4.590142857,82980.68,2.878222444,332,192,144,233,203,167,144,127,108,78.74,5.624285714,84.53869048,29.62717262,29.44565476,29.81190476,0.512857143,7.18,10
LiveOak,2020,GA06G,Scl1,07/22/2020,0,68,14,8.75,8.75,0,185.674,4.420809524,77100.6,3.027209864,311,201,118,233,203,182,160,141,127,97.536,6.966857143,86.27380952,28.99482143,28.82494048,29.16559524,0.53,7.42,9
LiveOak,2020,GA06G,Scl1,08/05/2020,0,82,14,45,48.75,1,189.738,4.517571429,79153.54,3.077228471,329,214,119,262,229,205,186,166,157,42.418,3.029857143,89.19940476,29.30970238,29.1346131,29.48592262,0.467142857,6.54,3
