Location,lat,long,year,plot,block,variety,inoculum,dap,dt,inc_germ,inc_germ_new,inc_germ_cum,date,inc_all4,inc_all4_new,inc_all4_cum,sy_inc,syinc_new,syinc_cum,germ_dy/dt,sy_dy/dt,can_cover
Live Oak,30.306,-82.901,2019,101,1,GA06G,Scl2,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,101,1,GA06G,Scl2,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,101,1,GA06G,Scl2,63,14,40,40,40,7/24/2019,40,40,40,0,0,0,2.857142857,0,
Live Oak,30.306,-82.901,2019,101,1,GA06G,Scl2,79,16,45,15,55,8/9/2019,45,15,55,40,40,40,0.9375,2.5,
Live Oak,30.306,-82.901,2019,101,1,GA06G,Scl2,92,13,15,5,60,8/22/2019,15,5,60,5,0,40,0.384615385,0,
Live Oak,30.306,-82.901,2019,101,1,GA06G,Scl2,105,13,10,5,65,9/4/2019,40,20,80,40,25,65,0.384615385,1.923076923,
Live Oak,30.306,-82.901,2019,101,1,GA06G,Scl2,119,14,0,0,65,9/18/2019,30,10,90,30,10,75,0,0.714285714,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,63,14,75,75,75,7/24/2019,85,85,85,55,55,55,5.357142857,3.928571429,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,79,16,70,20,95,8/9/2019,75,10,95,75,30,85,1.25,1.875,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,92,13,15,0,95,8/22/2019,15,0,95,15,0,85,0,0,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,105,13,10,0,95,9/4/2019,35,0,95,30,0,85,0,0,
Live Oak,30.306,-82.901,2019,102,1,GA06G,Scl1,119,14,0,0,95,9/18/2019,50,0,95,50,0,85,0,0,
Live Oak,30.306,-82.901,2019,103,1,GA06G,Grn1,44,44,5,5,5,7/5/2019,5,5,5,5,5,5,0.113636364,0.113636364,
Live Oak,30.306,-82.901,2019,103,1,GA06G,Grn1,49,5,5,0,5,7/10/2019,5,0,5,0,0,5,0,0,
Live Oak,30.306,-82.901,2019,103,1,GA06G,Grn1,63,14,45,40,45,7/24/2019,55,50,55,45,45,50,2.857142857,3.214285714,
Live Oak,30.306,-82.901,2019,103,1,GA06G,Grn1,79,16,65,25,70,8/9/2019,85,30,85,85,35,85,1.5625,2.1875,
Live Oak,30.306,-82.901,2019,103,1,GA06G,Grn1,92,13,10,0,70,8/22/2019,30,0,85,30,0,85,0,0,
Live Oak,30.306,-82.901,2019,103,1,GA06G,Grn1,105,13,0,0,70,9/4/2019,35,0,85,35,0,85,0,0,
