location,year,variety,inoculum,date,dap_pred,dap,dt,myIncObs,myIncCum,canCover,cumETin,avgETin,cumSRad,avgHTR,nHrST25.35,nHrST25.30,nHrSTa30,nHrRHa80,nHrRHa85,nHrRHa90,nHrRHa80ST25.30,nHrRHa85ST25.30,nHrRHa90ST25.30,cumDRnI,avgDRnI,avgRH,avgST,avgSTmin,avgSTmx
LiveOak,2019,GA06G,Scl1,2019-07-05,0,44,44,0.0,0.0,0,72.34,4.822666666666667,86729.0,0.9217015744855178,0,0,337,167,134,96,0,0,0,43.099999999999994,2.873333333333333,75.71111111111112,82.75277777777778,76.43333333333334,90.17333333333333
LiveOak,2019,GA06G,Scl1,2019-07-10,0,49,5,2.5,2.5,0,78.97999999999999,5.2653333333333325,90738.0,0.8301087279801251,0,0,337,124,100,65,0,0,0,37.7,2.5133333333333336,70.56944444444443,85.45027777777779,77.78,95.04666666666667
LiveOak,2019,GA06G,Scl1,2019-07-24,0,63,14,73.75,73.75,1,60.800000000000004,4.053333333333334,77003.0,0.9756558140139772,0,0,337,186,154,121,0,0,0,83.59999999999998,5.573333333333332,80.05833333333334,82.20833333333333,76.65333333333334,88.9066666666667
LiveOak,2019,GA06G,Scl1,2019-08-09,0,79,16,62.5,90.0,1,62.76999999999999,4.184666666666666,78110.0,0.9450992577279586,0,0,337,162,137,104,0,0,0,48.1,3.2066666666666666,76.32222222222222,80.96055555555559,74.55333333333334,88.23333333333335
LiveOak,2019,GA06G,Scl1,2019-08-22,0,92,13,6.25,90.0,1,63.080000000000005,4.205333333333334,75432.0,0.9397773023384673,0,0,337,174,147,118,0,0,0,86.00000000000001,5.733333333333334,78.78055555555555,84.06722222222223,77.76,92.3866666666667
LiveOak,2019,GA06G,Scl1,2019-09-04,0,105,13,7.5,90.0,1,52.42,3.494666666666667,68279.0,1.0443700536103608,0,0,337,219,191,157,0,0,0,113.0,7.533333333333333,83.48333333333333,80.16527777777779,75.65333333333335,85.76666666666667
LiveOak,2019,GA06G,Scl1,2019-09-18,1,119,14,2.5,90.0,1,71.16999999999999,4.7446666666666655,79383.0,0.8319631600416059,0,0,337,110,87,68,0,0,0,23.900000000000002,1.5933333333333335,69.5277777777778,83.95166666666665,76.54666666666667,91.99999999999999
LiveOak,2020,GA06G,Scl1,2020-07-08,0,54,54,0.0,0.0,0,74.48,4.965333333333334,90699.0,0.8992289396113345,0,0,337,153,128,99,0,0,0,10.2,0.6799999999999999,73.83333333333333,82.17249999999999,75.24666666666666,90.37333333333332
LiveOak,2020,GA06G,Scl1,2020-07-22,0,68,14,8.75,8.75,0,63.12,4.208,79223.0,0.9669637355663662,0,0,337,193,159,118,0,0,0,74.2,4.946666666666667,78.68888888888888,81.7636111111111,76.53333333333335,87.92666666666668
LiveOak,2020,GA06G,Scl1,2020-08-05,0,82,14,45.0,48.75,1,67.08,4.4719999999999995,81091.0,0.9194547272533601,0,0,337,153,128,93,0,0,0,43.7,2.9133333333333336,76.1277777777778,83.13333333333334,76.75333333333333,90.64666666666668
LiveOak,2020,GA06G,Scl1,2020-08-19,0,96,14,21.25,58.75,1,68.62,4.574666666666667,82876.0,0.8874152535417993,0,0,337,149,123,84,0,0,0,38.6,2.5733333333333333,74.10277777777777,83.60555555555555,76.41333333333334,91.92666666666668
LiveOak,2020,GA06G,Scl1,2020-09-02,0,110,14,15.0,63.75,1,54.550000000000004,3.636666666666667,68616.0,1.0204076743336086,0,0,337,210,177,144,0,0,0,107.59999999999998,7.173333333333332,82.71944444444443,81.29027777777777,76.44666666666667,87.78666666666668
LiveOak,2020,GA06G,Scl1,2020-09-22,1,130,20,0.0,63.75,1,44.779999999999994,2.9853333333333327,59193.0,1.0912119363612203,0,0,337,246,219,184,0,0,0,88.5,5.9,86.67777777777776,79.70916666666668,76.3,84.44666666666667
Marianna,2019,GA06G,Scl1,2019-07-03,0,42,42,0.0,0.0,0,71.48999999999998,4.765999999999999,86933.0,0.8863446197458141,0,0,337,129,107,88,0,0,0,18.3,1.22,72.66388888888888,82.13694444444445,76.50666666666666,88.52
Marianna,2019,GA06G,Scl1,2019-07-12,0,51,9,1.25,1.25,0,73.61000000000001,4.907333333333335,86933.0,0.8582513849740463,0,0,337,114,93,68,0,0,0,23.799999999999997,1.5866666666666664,72.38333333333334,84.60333333333332,78.20666666666668,92.27333333333334
Marianna,2019,GA06G,Scl1,2019-07-24,0,63,12,22.5,23.75,0,63.22,4.214666666666667,80821.0,0.9935934313183717,0,0,337,198,177,143,0,0,0,75.7,5.046666666666667,82.45833333333333,83.05944444444445,77.92666666666666,89.18666666666667
Marianna,2019,GA06G,Scl1,2019-08-08,0,78,15,3.75,27.5,1,73.82000000000001,4.921333333333334,88800.0,0.8259449373761069,0,0,337,112,90,61,0,0,0,48.29999999999999,3.2199999999999993,68.51666666666667,83.33222222222223,76.12666666666668,91.41333333333334
Marianna,2019,GA06G,Scl1,2019-08-23,0,93,15,32.5,47.5,1,61.77,4.118,76302.0,0.9417681617408339,0,0,337,186,151,118,0,0,0,73.6,4.906666666666666,80.08333333333333,85.16027777777778,79.60666666666665,92.07333333333334
Marianna,2019,GA06G,Scl1,2019-09-05,0,106,13,18.75,56.25,1,55.15000000000001,3.6766666666666676,69767.0,0.9752134218429358,0,0,337,191,169,136,0,0,0,74.0,4.933333333333334,79.09722222222223,81.1313888888889,76.67333333333333,86.63333333333334
Marianna,2019,GA06G,Scl1,2019-09-20,1,121,15,6.25,60.0,1,84.97999999999999,5.665333333333333,87331.0,0.6672269845112159,0,0,337,54,35,23,0,0,0,1.5,0.1,57.88888888888889,86.87472222222223,78.56,95.82666666666665
Marianna,2019,GA06G,Scl1,2019-10-02,1,133,12,6.25,63.75,1,79.62,5.308000000000001,78476.0,0.620579437693706,0,0,337,28,6,2,0,0,0,1.2000000000000002,0.08000000000000002,53.87777777777777,86.87722222222222,77.78000000000002,96.22000000000001
Marianna,2020,GA06G,Scl1,2020-07-09,0,44,44,1.25,1.25,0,70.94,4.729333333333333,82233.0,0.8475430747504689,0,0,337,133,102,74,0,0,0,28.0,1.8666666666666667,71.38055555555553,84.43416666666666,78.14,92.10666666666667
Marianna,2020,GA06G,Scl1,2020-07-24,0,59,15,1.25,2.5,0,65.96999999999998,4.397999999999999,83787.0,0.9769365284038363,0,0,337,189,163,126,0,0,0,67.6,4.506666666666666,80.12222222222223,82.27666666666666,77.23333333333333,88.14666666666668
Marianna,2020,GA06G,Scl1,2020-08-07,0,73,14,5.0,6.25,1,66.05000000000001,4.403333333333334,81029.0,0.9499524852198026,0,0,337,188,153,115,0,0,0,46.699999999999996,3.113333333333333,79.075,83.45583333333335,77.97333333333333,90.11999999999999
Marianna,2020,GA06G,Scl1,2020-08-21,0,87,14,13.75,18.75,1,67.15,4.4766666666666675,79268.0,0.8681210628770716,0,0,337,158,121,89,0,0,0,50.599999999999994,3.373333333333333,73.64444444444443,85.40888888888888,78.52,93.10666666666665
Marianna,2020,GA06G,Scl1,2020-09-04,0,101,14,0.0,18.75,1,54.39000000000001,3.6260000000000003,67461.0,1.0023167543687086,0,0,337,190,163,133,0,0,0,90.3,6.02,81.20555555555555,81.4088888888889,76.54666666666667,87.11333333333333
Marianna,2020,GA06G,Scl1,2020-10-19,1,146,45,0.0,18.75,1,50.27,3.3513333333333337,67134.0,1.0137432308748295,0,0,337,129,108,75,0,0,0,20.499999999999996,1.3666666666666665,73.8888888888889,72.61361111111111,67.28666666666666,78.82
Quincy,2019,GA06G,Scl1,2019-07-03,0,48,48,0.0,0.0,0,68.88999999999999,4.592666666666665,87122.0,0.9434240891650792,0,0,337,147,123,101,0,0,0,25.700000000000003,1.7133333333333336,75.82777777777777,80.51666666666667,76.15333333333334,85.61333333333332
Quincy,2019,GA06G,Scl1,2019-07-11,0,56,8,0.0,0.0,0,71.86999999999999,4.791333333333332,88280.0,0.9096546621931214,0,0,337,144,111,82,0,0,0,34.8,2.32,74.825,82.44305555555555,77.62666666666665,88.36666666666666
Quincy,2019,GA06G,Scl1,2019-08-16,0,92,36,12.5,12.5,1,65.13,4.342,84198.0,0.9758494293364496,0,0,337,172,138,97,0,0,0,46.10000000000001,3.0733333333333337,78.64166666666667,80.5925,75.83333333333334,86.10666666666665
Quincy,2019,GA06G,Scl1,2019-09-06,0,113,21,0.0,12.5,1,54.31999999999999,3.621333333333333,71296.0,1.0432154164190075,0,0,337,213,183,160,0,0,0,88.1,5.873333333333333,83.09166666666667,79.75916666666666,76.0,84.27333333333333
Quincy,2019,GA06G,Scl1,2019-09-19,1,126,13,0.0,12.5,1,74.49000000000001,4.966,83550.0,0.7696129671665233,0,0,337,85,59,30,0,0,0,6.999999999999999,0.4666666666666666,63.74722222222223,82.93888888888888,76.92666666666668,89.08000000000001
Quincy,2019,GA06G,Scl1,2019-10-01,1,138,12,0.0,12.5,1,69.78,4.652,76480.0,0.7496576811416273,0,0,337,51,27,7,0,0,0,0.5,0.03333333333333333,61.19444444444445,81.6713888888889,75.0,88.14
Quincy,2020,GA06G,Scl1,2020-07-12,0,58,58,6.25,6.25,0,60.34,4.022666666666667,77311.0,1.0151634636846183,0,0,337,202,169,119,0,0,0,75.0,5.0,81.26388888888889,80.2961111111111,76.06,85.48666666666668
Quincy,2020,GA06G,Scl1,2020-07-23,0,69,11,3.75,10.0,0,63.099999999999994,4.206666666666666,81844.0,0.9972545325460194,0,0,337,191,165,129,0,0,0,60.6,4.04,80.24444444444444,80.73611111111111,76.58,85.44666666666667
Quincy,2020,GA06G,Scl1,2020-08-06,0,83,14,11.25,20.0,1,65.03,4.335333333333334,80778.0,0.9447377726014531,0,0,337,158,130,91,0,0,0,41.9,2.7933333333333334,77.39166666666665,82.05361111111112,77.28666666666666,87.31999999999998
Quincy,2020,GA06G,Scl1,2020-08-20,0,97,14,47.5,55.0,1,64.47999999999999,4.298666666666666,81100.0,0.9423350047320326,0,0,337,176,147,100,0,0,0,51.099999999999994,3.4066666666666663,77.58055555555555,82.5277777777778,77.16666666666669,88.22000000000001
Quincy,2020,GA06G,Scl1,2020-09-03,0,111,14,2.5,57.5,1,51.93999999999999,3.462666666666666,66595.0,1.0442163158710032,0,0,337,214,181,146,0,0,0,80.7,5.38,83.34166666666667,80.0286111111111,75.98,84.46666666666667
Quincy,2020,GA06G,Scl1,2020-09-21,1,129,18,0.0,57.5,1,55.85999999999999,3.7239999999999993,68453.0,0.9882784870719404,0,0,337,165,133,110,0,0,0,69.60000000000001,4.640000000000001,79.35277777777779,80.70250000000001,76.92,85.28
